Bathrooms,Bedrooms,Erf Size,Floor Size,Garages,Listing Date,Listing Number,Pet Friendly,Price,Town,Type of Property,Garden,Pool,Secure Parking,Parking,No Pets Allowed,Furnished,Flatlet,Fibre Internet,Furnished (Optional),ADSL Internet,Satellite Internet,Fixed WiMax Internet
3.0,3.0,304 m²,326 m²,2.0,10 July 2020,108859219,1.0,6480000.0,"Tokai, Cape Town",House,,,,,,,,,,,,
3.0,3.0,,140 m²,2.0,23 September 2020,109153971,1.0,6250000.0,"14 Graham Road, Sea Point, Cape Town",Townhouse,,,,,,,,,,,,
3.5,4.0,659 m²,300 m²,2.0,23 September 2020,109154367,,13950000.0,"Camps Bay, Cape Town",House,1.0,1.0,2.0,,,,,,,,,
1.0,2.0,,,,23 September 2020,109154455,,1050000.0,"Ottery, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
1.0,1.0,,61 m²,,23 July 2020,108907258,,1265000.0,"Muizenberg, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,
3.0,6.0,677 m²,,,18 September 2020,109136653,1.0,9900000.0,"7 Breda Street, Oranjezicht, Cape Town",House,,,,8.0,,,,,,,,
3.5,3.0,,410 m²,2.0,24 July 2020,108909235,,55000000.0,"Waterfront, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,
4.5,4.0,,300 m²,,23 September 2020,109154447,1.0,15999000.0,"Sea Point, Cape Town",Apartment / Flat,,1.0,,2.0,,,,,,,,
1.0,1.0,,51 m²,,08 September 2020,109087490,,1385000.0,"36 Clifford Ave, Vredehoek, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,
1.0,0.5,,43 m²,,07 September 2020,109072931,,1400000.0,"Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,1.0,,,,,,
1.5,2.0,,57 m²,,23 September 2020,109154135,1.0,1475000.0,"5 Hamlet Way, Pinelands, Cape Town",Townhouse,,1.0,2.0,,,,,,,,,
8.0,8.0,2 842 m²,650 m²,3.0,23 September 2020,109154306,1.0,20000000.0,"Kenilworth Upper, Cape Town",House,1.0,1.0,,8.0,,1.0,,,,,,
2.0,3.0,645 m²,,,23 September 2020,109153823,,2195000.0,"Thornton, Cape Town",House,,,,2.0,1.0,,,,,,,
3.0,4.0,1 085 m²,,,23 September 2020,109154445,,4450000.0,"Tokai, Cape Town",House,,1.0,,5.0,,,,,,,,
4.5,4.0,252 m²,,1.0,23 September 2020,109154270,1.0,4850000.0,"12 Faure Street, Gardens, Cape Town",House,1.0,1.0,,1.0,,,1.0,,,,,
3.0,3.0,,192 m²,2.0,24 July 2020,108909566,,28000000.0,"Waterfront, Cape Town",Apartment / Flat,,1.0,,,1.0,1.0,,,,,,
2.0,2.0,281 m²,140 m²,1.0,23 September 2020,109154201,1.0,4950000.0,"Sea Point, Cape Town",House,,1.0,,,,,,,,,,
2.0,2.0,209 m²,106 m²,1.0,25 July 2020,108912704,,2500000.0,"Harfield Village, Cape Town",House,,1.0,,,,,,,,,,
1.0,3.0,,,1.0,23 September 2020,109154145,,690000.0,"Parkwood, Cape Town",House,,,,5.0,,,,,,,,
1.0,2.0,,86 m²,,23 September 2020,109153982,,3500000.0,"16 Fir Avenue, Bantry Bay, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,2.0,,,1.0,23 September 2020,109153799,,1500000.0,"Kenilworth, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,
